DAY,COUNTS
755,30.3
756,34.98
757,36.63
758,33.93
759,29.99
760,28.68
761,28.26
762,27.74
763,33.09
764,31.83
765,32.26
766,29.02
767,28.23
768,27.47
769,35.85
770,36.45
771,33.1
772,29.06
773,27.38
774,27.24
775,27.45
776,34.36
777,33.35
778,28.79
779,27.62
780,27.14
781,27.06
782,33.47
783,33.5
784,32.32
785,28.77
786,27.51
787,27.15
788,27.21
789,32.6
790,36.0
791,34.45
792,29.23
793,27.47
794,27.99
795,40.47
796,33.32
797,30.34
798,37.02
799,29.22
800,25.72
801,26.84
802,26.98
803,31.78
804,33.13
805,31.26
806,28.48
807,27.4
808,27.83
809,28.19
810,33.04
811,32.54
812,28.3
813,27.84
814,27.49
815,27.37
816,26.65
817,30.6
818,27.69
819,28.17
820,40.11
821,36.0
822,29.54
823,28.72
824,35.54
825,27.8
826,26.85
827,26.34
828,26.49
829,31.67
830,32.86
831,30.54
832,27.4
